Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome
93,AHL 2.15,AHL 2.15c,Rational Function Optimization,Applying rational functions to optimization problems.,"Students learn to use rational functions in optimization problems, understand constraints, and find maximum/minimum values.","Apply, optimize, solve",Paper 1 (rational optimization),7 / 10,Students should be able to apply rational functions to optimization problems.
94,AHL 2.16,AHL 2.16a,Advanced Function Transformations,Understanding complex transformations of functions and their effects.,"Students learn about advanced transformations including dilations, rotations, and combinations of multiple transformations.","Understand, apply, transform",Paper 1 (advanced transformations),7 / 10,Students should be able to understand and apply advanced transformations to function graphs.
95,AHL 2.16,AHL 2.16b,Transformation Matrices,Understanding matrix representations of transformations.,"Students learn to represent transformations using matrices, understand matrix operations, and apply them to function transformations.","Represent, understand, apply",Paper 1 (transformation matrices),7 / 10,Students should be able to represent and apply transformations using matrices.
96,AHL 2.16,AHL 2.16c,Advanced Transformation Applications,Applying advanced transformations to solve complex problems.,Students learn to use advanced transformations to solve complex mathematical problems and model real-world situations.,"Apply, solve, model",Paper 1 (advanced transformation applications),7 / 10,Students should be able to apply advanced transformations to solve complex problems.
97,SL 3.1,SL 3.1a,Three-Dimensional Coordinate Systems,Understanding three-dimensional coordinate systems and spatial geometry.,"Students learn about 3D coordinate systems, distance formula in 3D, and basic spatial relationships between points.","Understand, calculate, analyze",Paper 1 (3D coordinates),5 / 10,Students should be able to work with three-dimensional coordinate systems and calculate distances.
98,SL 3.1,SL 3.1b,Equations of Planes,Understanding equations of planes in three-dimensional space.,"Students learn to find equations of planes using points and normal vectors, understand different forms of plane equations.","Find, understand, apply",Paper 1 (plane equations),6 / 10,Students should be able to find equations of planes in three-dimensional space.
99,SL 3.1,SL 3.1c,Intersection of Planes and Lines,Understanding intersections between planes and lines in 3D space.,"Students learn to find intersections between planes and lines, understand different cases of intersection, and solve related problems.","Find, understand, solve",Paper 1 (plane line intersections),6 / 10,Students should be able to find intersections between planes and lines in three-dimensional space.
100,SL 3.2,SL 3.2a,Trigonometric Ratios,Understanding basic trigonometric ratios and their properties.,"Students learn about sine, cosine, and tangent ratios, understand their definitions in right triangles, and apply them to solve problems.","Understand, apply, solve",Paper 1 (trigonometric ratios),4 / 10,Students should be able to understand and apply basic trigonometric ratios to solve problems.
101,SL 3.2,SL 3.2b,Special Angles and Exact Values,Understanding special angles and their exact trigonometric values.,"Students learn the exact values of trigonometric ratios for 30°, 45°, 60°, and 90°, and apply them in calculations.","Learn, apply, calculate",Paper 1 (special angles),5 / 10,Students should be able to recall and apply exact values of trigonometric ratios for special angles.
102,SL 3.2,SL 3.2c,Applications of Trigonometric Ratios,Applying trigonometric ratios to solve real-world problems.,"Students learn to apply trigonometric ratios to solve problems involving angles of elevation, depression, and other real-world situations.","Apply, solve, model",Paper 1 (trigonometric applications),5 / 10,Students should be able to apply trigonometric ratios to solve real-world problems.
103,SL 3.3,SL 3.3a,The Unit Circle,Understanding the unit circle and its relationship to trigonometric functions.,"Students learn about the unit circle, understand how it relates to trigonometric ratios, and work with angles in radians and degrees.","Understand, relate, convert",Paper 1 (unit circle),5 / 10,Students should be able to understand the unit circle and its relationship to trigonometric functions.
104,SL 3.3,SL 3.3b,Radians and Degrees,Understanding the relationship between radians and degrees.,"Students learn to convert between radians and degrees, understand the relationship π radians = 180°, and apply this in calculations.","Convert, understand, apply",Paper 1 (radian degree conversion),5 / 10,Students should be able to convert between radians and degrees and apply this in calculations.
105,SL 3.3,SL 3.3c,Arc Length and Sector Area,Understanding arc length and sector area calculations.,"Students learn to calculate arc length s = rθ and sector area A = ½r²θ, and apply these formulas to solve problems.","Calculate, apply, solve",Paper 1 (arc length sector area),5 / 10,Students should be able to calculate arc length and sector area using appropriate formulas.
106,SL 3.4,SL 3.4a,Trigonometric Identities,Understanding fundamental trigonometric identities.,"Students learn about sin²θ + cos²θ = 1, tanθ = sinθ/cosθ, and other fundamental identities, and apply them to simplify expressions.","Learn, apply, simplify",Paper 1 (trigonometric identities),6 / 10,Students should be able to understand and apply fundamental trigonometric identities.
107,SL 3.4,SL 3.4b,Simplifying Trigonometric Expressions,Simplifying complex trigonometric expressions using identities.,"Students learn to use trigonometric identities to simplify expressions, factor trigonometric expressions, and solve related problems.","Simplify, factor, solve",Paper 1 (trigonometric simplification),6 / 10,Students should be able to simplify trigonometric expressions using identities.
108,SL 3.4,SL 3.4c,Proving Trigonometric Identities,Understanding how to prove trigonometric identities.,"Students learn techniques for proving trigonometric identities, understand logical reasoning, and develop proof-writing skills.","Prove, reason, develop",Paper 1 (trigonometric proofs),6 / 10,Students should be able to prove trigonometric identities using appropriate techniques.
109,SL 3.5,SL 3.5a,Graphs of Sine and Cosine,Understanding the graphs of sine and cosine functions.,"Students learn to graph y = sin(x) and y = cos(x), understand their periodic nature, amplitude, and period, and analyze their key features.","Graph, understand, analyze",Paper 1 (sine cosine graphs),5 / 10,Students should be able to graph sine and cosine functions and understand their properties.
110,SL 3.5,SL 3.5b,Amplitude and Period,Understanding amplitude and period in trigonometric functions.,"Students learn about amplitude |a| and period 2π/b in y = a sin(bx) and y = a cos(bx), and how these parameters affect the graphs.","Understand, analyze, apply",Paper 1 (amplitude period),5 / 10,Students should be able to understand and analyze amplitude and period in trigonometric functions.
111,SL 3.5,SL 3.5c,Phase Shift and Vertical Shift,Understanding phase shift and vertical shift in trigonometric functions.,"Students learn about phase shift c and vertical shift d in y = a sin(b(x-c)) + d, and how these transformations affect the graphs.","Understand, analyze, apply",Paper 1 (phase vertical shift),5 / 10,Students should be able to understand and analyze phase shift and vertical shift in trigonometric functions.
112,SL 3.6,SL 3.6a,Graphs of Tangent and Cotangent,Understanding the graphs of tangent and cotangent functions.,"Students learn to graph y = tan(x) and y = cot(x), understand their periodic nature, asymptotes, and analyze their key features.","Graph, understand, analyze",Paper 1 (tangent cotangent graphs),5 / 10,Students should be able to graph tangent and cotangent functions and understand their properties.
113,SL 3.6,SL 3.6b,Asymptotes in Trigonometric Functions,Understanding asymptotes in trigonometric functions.,"Students learn to identify vertical asymptotes in tangent and cotangent functions, understand their significance, and analyze function behavior.","Identify, understand, analyze",Paper 1 (trigonometric asymptotes),5 / 10,Students should be able to identify and understand asymptotes in trigonometric functions.
114,SL 3.6,SL 3.6c,Period and Transformations,Understanding period and transformations in tangent and cotangent functions.,"Students learn about period π/b in y = a tan(bx) and y = a cot(bx), and how transformations affect these functions.","Understand, analyze, apply",Paper 1 (tangent transformations),5 / 10,Students should be able to understand and analyze period and transformations in tangent and cotangent functions.
115,SL 3.7,SL 3.7a,Circular Functions,Understanding circular functions and their relationship to trigonometric functions.,"Students learn about circular functions, understand their relationship to trigonometric functions, and work with their properties.","Understand, relate, work",Paper 1 (circular functions),5 / 10,Students should be able to understand circular functions and their relationship to trigonometric functions.
116,SL 3.7,SL 3.7b,Graphs of Circular Functions,Understanding the graphs of circular functions.,"Students learn to graph circular functions, understand their periodic nature, and analyze their key features and behavior.","Graph, understand, analyze",Paper 1 (circular function graphs),5 / 10,Students should be able to graph circular functions and understand their properties.
117,SL 3.7,SL 3.7c,Applications of Circular Functions,Applying circular functions to solve problems and model situations.,"Students learn to apply circular functions to solve problems, model periodic phenomena, and understand their real-world applications.","Apply, model, understand",Paper 1 (circular function applications),5 / 10,Students should be able to apply circular functions to solve problems and model real-world situations.
118,SL 3.8,SL 3.8a,Inverse Trigonometric Functions,Understanding inverse trigonometric functions and their properties.,"Students learn about arcsin, arccos, and arctan functions, understand their domains and ranges, and work with their properties.","Understand, work, apply",Paper 1 (inverse trigonometric functions),6 / 10,Students should be able to understand and work with inverse trigonometric functions.
119,SL 3.8,SL 3.8b,Graphs of Inverse Trigonometric Functions,Understanding the graphs of inverse trigonometric functions.,"Students learn to graph inverse trigonometric functions, understand their restricted domains, and analyze their key features.","Graph, understand, analyze",Paper 1 (inverse trig graphs),6 / 10,Students should be able to graph inverse trigonometric functions and understand their properties.
120,SL 3.8,SL 3.8c,Applications of Inverse Trigonometric Functions,Applying inverse trigonometric functions to solve problems.,"Students learn to apply inverse trigonometric functions to solve problems, understand their practical applications, and work with related calculations.","Apply, solve, understand",Paper 1 (inverse trig applications),6 / 10,Students should be able to apply inverse trigonometric functions to solve problems.
121,AHL 3.9,AHL 3.9a,Reciprocal Trigonometric Functions,Understanding reciprocal trigonometric functions and their properties.,"Students learn about cosecant, secant, and cotangent functions, understand their relationships to sine, cosine, and tangent, and work with their properties.","Understand, relate, work",Paper 1 (reciprocal trig functions),6 / 10,Students should be able to understand and work with reciprocal trigonometric functions.
122,AHL 3.9,AHL 3.9b,Graphs of Reciprocal Trigonometric Functions,Understanding the graphs of reciprocal trigonometric functions.,"Students learn to graph reciprocal trigonometric functions, understand their asymptotes and behavior, and analyze their key features.","Graph, understand, analyze",Paper 1 (reciprocal trig graphs),6 / 10,Students should be able to graph reciprocal trigonometric functions and understand their properties.
123,AHL 3.9,AHL 3.9c,Advanced Inverse Trigonometric Functions,Understanding advanced properties of inverse trigonometric functions.,"Students learn about advanced properties of inverse trigonometric functions, understand their relationships, and work with complex problems.","Understand, relate, work",Paper 1 (advanced inverse trig),7 / 10,Students should be able to understand advanced properties of inverse trigonometric functions.
124,AHL 3.10,AHL 3.10a,Compound Angle Formulae,Understanding compound angle formulae in trigonometry.,"Students learn about sin(A±B), cos(A±B), and tan(A±B) formulae, understand their derivations, and apply them to solve problems.","Learn, understand, apply",Paper 1 (compound angle formulae),7 / 10,Students should be able to understand and apply compound angle formulae.
125,AHL 3.10,AHL 3.10b,Double Angle Formulae,Understanding double angle formulae in trigonometry.,"Students learn about sin(2A), cos(2A), and tan(2A) formulae, understand their derivations, and apply them to solve problems.","Learn, understand, apply",Paper 1 (double angle formulae),7 / 10,Students should be able to understand and apply double angle formulae.
126,AHL 3.10,AHL 3.10c,Applications of Compound and Double Angle Formulae,Applying compound and double angle formulae to solve problems.,Students learn to apply compound and double angle formulae to solve complex trigonometric problems and prove identities.,"Apply, solve, prove",Paper 1 (angle formula applications),7 / 10,Students should be able to apply compound and double angle formulae to solve problems and prove identities.
127,AHL 3.11,AHL 3.11a,Trigonometric Symmetry,Understanding symmetry properties in trigonometric functions.,"Students learn about even and odd functions, understand symmetry properties of trigonometric functions, and apply these concepts to solve problems.","Understand, apply, solve",Paper 1 (trigonometric symmetry),7 / 10,Students should be able to understand and apply symmetry properties in trigonometric functions.
128,AHL 3.11,AHL 3.11b,Periodicity and Symmetry,Understanding the relationship between periodicity and symmetry in trigonometric functions.,"Students learn about periodic properties, understand how symmetry relates to periodicity, and analyze these relationships in trigonometric functions.","Understand, relate, analyze",Paper 1 (periodicity symmetry),7 / 10,Students should be able to understand the relationship between periodicity and symmetry in trigonometric functions.
129,AHL 3.11,AHL 3.11c,Applications of Trigonometric Symmetry,Applying symmetry properties to solve trigonometric problems.,"Students learn to use symmetry properties to simplify calculations, solve trigonometric equations, and prove identities.","Apply, simplify, solve",Paper 1 (symmetry applications),7 / 10,Students should be able to apply symmetry properties to solve trigonometric problems.
130,AHL 3.12,AHL 3.12a,Vector Concepts,Understanding basic vector concepts and operations.,"Students learn about vectors, understand vector notation, magnitude, and direction, and work with basic vector operations.","Understand, work, apply",Paper 1 (vector concepts),6 / 10,Students should be able to understand basic vector concepts and perform vector operations.
131,AHL 3.12,AHL 3.12b,Vector Operations,"Understanding vector addition, subtraction, and scalar multiplication.","Students learn to add, subtract, and multiply vectors by scalars, understand the geometric interpretation of these operations.","Learn, understand, apply",Paper 1 (vector operations),6 / 10,Students should be able to perform vector operations and understand their geometric interpretation.
132,AHL 3.12,AHL 3.12c,Vector Applications,Applying vectors to solve problems in geometry and physics.,"Students learn to apply vectors to solve problems involving displacement, velocity, forces, and other physical quantities.","Apply, solve, model",Paper 1 (vector applications),6 / 10,Students should be able to apply vectors to solve problems in geometry and physics.
133,AHL 3.13,AHL 3.13a,Linear Systems,Understanding systems of linear equations and their solutions.,"Students learn about systems of linear equations, understand different types of solutions, and work with methods to solve them.","Understand, work, solve",Paper 1 (linear systems),6 / 10,Students should be able to understand and solve systems of linear equations.
134,AHL 3.13,AHL 3.13b,Matrix Methods,Understanding matrix methods for solving linear systems.,"Students learn to use matrices to solve linear systems, understand Gaussian elimination, and work with matrix operations.","Learn, understand, apply",Paper 1 (matrix methods),7 / 10,Students should be able to use matrix methods to solve linear systems.
135,AHL 3.13,AHL 3.13c,Applications of Linear Systems,Applying linear systems to solve real-world problems.,"Students learn to model real-world situations using linear systems, solve optimization problems, and understand practical applications.","Apply, model, solve",Paper 1 (linear system applications),7 / 10,Students should be able to apply linear systems to solve real-world problems.
136,AHL 3.14,AHL 3.14a,Advanced Vector Operations,Understanding advanced vector operations including dot and cross products.,"Students learn about dot product, cross product, and their geometric interpretations, and apply these concepts to solve problems.","Learn, understand, apply",Paper 1 (advanced vector operations),7 / 10,Students should be able to understand and apply advanced vector operations.
137,AHL 3.14,AHL 3.14b,Vector Geometry,Understanding the geometric applications of vectors in three-dimensional space.,"Students learn to use vectors to solve geometric problems, understand vector equations of lines and planes, and work with spatial relationships.","Learn, understand, work",Paper 1 (vector geometry),7 / 10,Students should be able to use vectors to solve geometric problems in three-dimensional space.
138,AHL 3.14,AHL 3.14c,Applications of Advanced Vectors,Applying advanced vector concepts to solve complex problems.,"Students learn to apply advanced vector concepts to solve problems in physics, engineering, and other fields requiring spatial analysis.","Apply, solve, analyze",Paper 1 (advanced vector applications),7 / 10,Students should be able to apply advanced vector concepts to solve complex problems.
139,AHL 3.15,AHL 3.15a,Advanced Linear Systems,Understanding advanced concepts in linear systems and their solutions.,"Students learn about consistent and inconsistent systems, dependent and independent systems, and advanced solution methods.","Understand, learn, apply",Paper 1 (advanced linear systems),7 / 10,Students should be able to understand and work with advanced linear systems.
140,AHL 3.15,AHL 3.15b,Matrix Algebra,Understanding matrix algebra and its applications to linear systems.,"Students learn about matrix operations, determinants, and their applications to solving linear systems and understanding system properties.","Learn, understand, apply",Paper 1 (matrix algebra),7 / 10,Students should be able to understand matrix algebra and its applications.
141,AHL 3.15,AHL 3.15c,Applications of Advanced Linear Systems,Applying advanced linear system concepts to solve complex problems.,"Students learn to model complex real-world situations using advanced linear systems, solve optimization problems, and understand practical applications.","Apply, model, solve",Paper 1 (advanced linear applications),7 / 10,Students should be able to apply advanced linear system concepts to solve complex problems.
142,AHL 3.16,AHL 3.16a,Vector Spaces,Understanding vector spaces and their properties.,"Students learn about vector spaces, subspaces, linear independence, and basis, and understand their fundamental properties and applications.","Learn, understand, apply",Paper 1 (vector spaces),7 / 10,Students should be able to understand vector spaces and their fundamental properties.
143,AHL 3.16,AHL 3.16b,Linear Transformations,Understanding linear transformations and their properties.,"Students learn about linear transformations, their matrix representations, and how they relate to vector spaces and linear systems.","Learn, understand, relate",Paper 1 (linear transformations),7 / 10,Students should be able to understand linear transformations and their properties.
144,AHL 3.16,AHL 3.16c,Applications of Vector Spaces and Linear Transformations,Applying vector space and linear transformation concepts to solve problems.,"Students learn to apply vector space and linear transformation concepts to solve problems in mathematics, physics, and engineering.","Apply, solve, model",Paper 1 (vector space applications),7 / 10,Students should be able to apply vector space and linear transformation concepts to solve problems.
145,SL 4.1,SL 4.1a,Data Collection and Types,Understanding different types of data and data collection methods.,"Students learn about qualitative and quantitative data, discrete and continuous data, and various methods of data collection including surveys and experiments.","Understand, classify, collect",Paper 1 (data types),4 / 10,Students should be able to understand different types of data and data collection methods.
146,SL 4.1,SL 4.1b,Data Representation,Understanding how to represent data effectively using tables and graphs.,"Students learn to create frequency tables, histograms, bar charts, and other graphical representations of data, and interpret their meaning.","Create, interpret, analyze",Paper 1 (data representation),4 / 10,Students should be able to create and interpret various representations of data.
147,SL 4.1,SL 4.1c,Data Analysis and Interpretation,Understanding how to analyze and interpret data from various sources.,"Students learn to analyze data, identify patterns and trends, and draw meaningful conclusions from statistical information.","Analyze, identify, conclude",Paper 1 (data analysis),4 / 10,Students should be able to analyze and interpret data effectively.
148,SL 4.2,SL 4.2a,Sampling Methods,Understanding different sampling methods and their applications.,"Students learn about random sampling, stratified sampling, systematic sampling, and cluster sampling, and understand their advantages and disadvantages.","Understand, compare, apply",Paper 1 (sampling methods),5 / 10,Students should be able to understand different sampling methods and their applications.
149,SL 4.2,SL 4.2b,Sampling Bias and Errors,Understanding sampling bias and errors in data collection.,"Students learn about different types of bias, sampling errors, and how to minimize them in data collection and analysis.","Understand, identify, minimize",Paper 1 (sampling bias),5 / 10,Students should be able to understand and identify sampling bias and errors.
150,SL 4.2,SL 4.2c,Sample Size and Reliability,Understanding the relationship between sample size and reliability of results.,"Students learn about the importance of sample size, confidence levels, and how sample size affects the reliability of statistical conclusions.","Understand, relate, evaluate",Paper 1 (sample size reliability),5 / 10,Students should be able to understand the relationship between sample size and reliability.
151,SL 4.3,SL 4.3a,Descriptive Statistics,Understanding descriptive statistics and their applications.,"Students learn about measures of central tendency (mean, median, mode) and measures of spread (range, standard deviation), and how to calculate and interpret them.","Learn, calculate, interpret",Paper 1 (descriptive statistics),5 / 10,Students should be able to calculate and interpret descriptive statistics.
152,SL 4.3,SL 4.3b,Measures of Central Tendency,Understanding and calculating measures of central tendency.,"Students learn to calculate mean, median, and mode for different types of data, understand their properties, and choose appropriate measures for different situations.","Calculate, understand, choose",Paper 1 (central tendency),5 / 10,Students should be able to calculate and understand measures of central tendency.
153,SL 4.3,SL 4.3c,Measures of Spread,Understanding and calculating measures of spread and variability.,"Students learn to calculate range, interquartile range, standard deviation, and variance, and understand their significance in data analysis.","Calculate, understand, analyze",Paper 1 (measures of spread),5 / 10,Students should be able to calculate and understand measures of spread and variability.
154,SL 4.4,SL 4.4a,Correlation and Scatter Plots,Understanding correlation and creating scatter plots.,"Students learn about correlation between variables, how to create and interpret scatter plots, and understand the relationship between correlation and causation.","Understand, create, interpret",Paper 1 (correlation scatter plots),5 / 10,Students should be able to understand correlation and create and interpret scatter plots.
155,SL 4.4,SL 4.4b,Linear Regression,Understanding linear regression and line of best fit.,"Students learn to find the line of best fit, understand the least squares method, and interpret the equation of the regression line.","Find, understand, interpret",Paper 1 (linear regression),5 / 10,Students should be able to find and interpret linear regression lines.
156,SL 4.4,SL 4.4c,Correlation Coefficient,Understanding and calculating the correlation coefficient.,"Students learn to calculate and interpret the correlation coefficient r, understand its range and meaning, and use it to assess the strength of linear relationships.","Calculate, interpret, assess",Paper 1 (correlation coefficient),5 / 10,Students should be able to calculate and interpret the correlation coefficient.
157,SL 4.5,SL 4.5a,Basic Probability Concepts,Understanding fundamental probability concepts and terminology.,"Students learn about sample spaces, events, outcomes, and basic probability rules, and understand how to calculate simple probabilities.","Understand, learn, calculate",Paper 1 (basic probability),4 / 10,Students should be able to understand basic probability concepts and calculate simple probabilities.
158,SL 4.5,SL 4.5b,Probability Rules,Understanding and applying probability rules and properties.,"Students learn about the addition rule, multiplication rule, complement rule, and other fundamental probability properties, and apply them to solve problems.","Learn, understand, apply",Paper 1 (probability rules),5 / 10,Students should be able to understand and apply probability rules and properties.
159,SL 4.5,SL 4.5c,Probability Applications,Applying probability concepts to solve real-world problems.,"Students learn to apply probability concepts to solve problems involving games, surveys, and other real-world situations.","Apply, solve, model",Paper 1 (probability applications),5 / 10,Students should be able to apply probability concepts to solve real-world problems.
160,SL 4.6,SL 4.6a,Conditional Probability,Understanding conditional probability and its applications.,"Students learn about conditional probability P(A|B), understand the concept of independence, and apply conditional probability to solve problems.","Understand, apply, solve",Paper 1 (conditional probability),6 / 10,Students should be able to understand and apply conditional probability concepts.
161,SL 4.6,SL 4.6b,Independent and Dependent Events,Understanding independent and dependent events in probability.,"Students learn to identify independent and dependent events, understand their properties, and apply this knowledge to solve probability problems.","Identify, understand, apply",Paper 1 (independent dependent events),6 / 10,Students should be able to identify and work with independent and dependent events.
162,SL 4.6,SL 4.6c,Combined Probability Problems,Solving complex probability problems involving multiple events.,"Students learn to solve problems involving combinations of events, use tree diagrams and other methods, and apply probability rules to complex situations.","Solve, use, apply",Paper 1 (combined probability),6 / 10,Students should be able to solve complex probability problems involving multiple events.
163,SL 4.7,SL 4.7a,Discrete Random Variables,Understanding discrete random variables and their properties.,"Students learn about discrete random variables, probability distributions, and how to calculate expected values and variance for discrete distributions.","Understand, calculate, analyze",Paper 1 (discrete random variables),6 / 10,Students should be able to understand and work with discrete random variables.
164,SL 4.7,SL 4.7b,Continuous Random Variables,Understanding continuous random variables and their properties.,"Students learn about continuous random variables, probability density functions, and how to work with continuous probability distributions.","Understand, work, analyze",Paper 1 (continuous random variables),6 / 10,Students should be able to understand and work with continuous random variables.
165,SL 4.7,SL 4.7c,Expected Value and Variance,Understanding expected value and variance for random variables.,"Students learn to calculate expected value E(X) and variance Var(X) for both discrete and continuous random variables, and understand their significance.","Calculate, understand, analyze",Paper 1 (expected value variance),6 / 10,Students should be able to calculate and understand expected value and variance for random variables.
166,SL 4.8,SL 4.8a,Binomial Distribution,Understanding the binomial distribution and its properties.,"Students learn about the binomial distribution, understand its parameters n and p, and learn to calculate probabilities using the binomial formula.","Understand, calculate, apply",Paper 1 (binomial distribution),6 / 10,Students should be able to understand and work with the binomial distribution.
167,SL 4.8,SL 4.8b,Binomial Probability Calculations,Calculating probabilities using the binomial distribution.,"Students learn to calculate binomial probabilities using the formula P(X = k) = C(n,k) × p^k × (1-p)^(n-k), and use technology for calculations.","Calculate, use, apply",Paper 1 (binomial calculations),6 / 10,Students should be able to calculate binomial probabilities using appropriate methods.
168,SL 4.8,SL 4.8c,Binomial Distribution Applications,Applying the binomial distribution to solve real-world problems.,"Students learn to identify situations that follow a binomial distribution, model real-world problems, and solve problems involving binomial probabilities.","Identify, model, solve",Paper 1 (binomial applications),6 / 10,Students should be able to apply the binomial distribution to solve real-world problems.
169,SL 4.9,SL 4.9a,Normal Distribution,Understanding the normal distribution and its properties.,"Students learn about the normal distribution, understand its bell-shaped curve, and learn about the parameters μ (mean) and σ (standard deviation).","Understand, learn, analyze",Paper 1 (normal distribution),6 / 10,Students should be able to understand the normal distribution and its properties.
170,SL 4.9,SL 4.9b,Standard Normal Distribution,Understanding the standard normal distribution and z-scores.,"Students learn about the standard normal distribution (μ = 0, σ = 1), understand z-scores, and learn to use standard normal tables or technology.","Understand, learn, use",Paper 1 (standard normal),6 / 10,Students should be able to understand and work with the standard normal distribution.
171,SL 4.9,SL 4.9c,Normal Distribution Applications,Applying the normal distribution to solve real-world problems.,"Students learn to apply the normal distribution to model real-world situations, solve problems involving normal probabilities, and understand the 68-95-99.7 rule.","Apply, solve, understand",Paper 1 (normal applications),6 / 10,Students should be able to apply the normal distribution to solve real-world problems.
172,SL 4.10,SL 4.10a,Advanced Correlation Analysis,Understanding advanced correlation analysis and its applications.,"Students learn about different types of correlation, understand correlation vs causation, and learn to interpret correlation results in context.","Understand, interpret, analyze",Paper 1 (advanced correlation),6 / 10,Students should be able to understand and interpret advanced correlation analysis.
173,SL 4.10,SL 4.10b,Regression Analysis,Understanding regression analysis and its applications.,"Students learn about regression analysis, understand the assumptions of linear regression, and learn to interpret regression results and residuals.","Understand, interpret, analyze",Paper 1 (regression analysis),6 / 10,Students should be able to understand and interpret regression analysis results.
174,SL 4.10,SL 4.10c,Correlation and Regression Applications,Applying correlation and regression analysis to solve problems.,"Students learn to apply correlation and regression analysis to real-world problems, understand limitations, and make appropriate conclusions.","Apply, understand, conclude",Paper 1 (correlation regression applications),6 / 10,Students should be able to apply correlation and regression analysis to solve problems.
175,SL 4.11,SL 4.11a,Advanced Conditional Probability,Understanding advanced conditional probability concepts and applications.,"Students learn about Bayes theorem, understand more complex conditional probability problems, and apply these concepts to solve problems.","Learn, understand, apply",Paper 1 (advanced conditional probability),6 / 10,Students should be able to understand and apply advanced conditional probability concepts.
176,SL 4.11,SL 4.11b,Probability Trees and Diagrams,Using probability trees and diagrams to solve complex problems.,"Students learn to create and use probability trees, Venn diagrams, and other visual aids to solve complex probability problems.","Create, use, solve",Paper 1 (probability trees),6 / 10,Students should be able to create and use probability trees and diagrams to solve problems.
177,SL 4.11,SL 4.11c,Advanced Probability Applications,Applying advanced probability concepts to solve complex problems.,"Students learn to apply advanced probability concepts to solve complex real-world problems, including problems involving multiple events and conditions.","Apply, solve, model",Paper 1 (advanced probability applications),6 / 10,Students should be able to apply advanced probability concepts to solve complex problems.
178,SL 4.12,SL 4.12a,Standardization and Z-Scores,Understanding standardization and z-scores in normal distributions.,"Students learn to standardize normal distributions, understand z-scores, and use standardization to solve problems involving normal distributions.","Learn, understand, use",Paper 1 (standardization z-scores),6 / 10,Students should be able to understand and use standardization and z-scores.
179,SL 4.12,SL 4.12b,Normal Distribution Calculations,Performing calculations with normal distributions.,"Students learn to calculate probabilities for normal distributions, use technology and tables, and solve problems involving normal distribution calculations.","Calculate, use, solve",Paper 1 (normal calculations),6 / 10,Students should be able to perform calculations with normal distributions.
180,SL 4.12,SL 4.12c,Normal Distribution Applications,Applying normal distribution concepts to solve real-world problems.,"Students learn to apply normal distribution concepts to model real-world situations, solve problems involving normal probabilities, and understand practical applications.","Apply, solve, understand",Paper 1 (normal distribution applications),6 / 10,Students should be able to apply normal distribution concepts to solve real-world problems.
181,AHL 4.13,AHL 4.13a,Advanced Conditional Probability,Understanding advanced conditional probability concepts and Bayes theorem.,"Students learn about Bayes theorem, understand more complex conditional probability problems, and apply these concepts to solve advanced problems.","Learn, understand, apply",Paper 1 (advanced conditional probability),7 / 10,Students should be able to understand and apply advanced conditional probability concepts including Bayes theorem.
182,AHL 4.13,AHL 4.13b,Probability Distributions,Understanding advanced probability distributions and their properties.,"Students learn about various probability distributions, understand their properties and applications, and work with complex probability problems.","Learn, understand, work",Paper 1 (probability distributions),7 / 10,Students should be able to understand and work with advanced probability distributions.
183,AHL 4.13,AHL 4.13c,Advanced Probability Applications,Applying advanced probability concepts to solve complex problems.,"Students learn to apply advanced probability concepts to solve complex real-world problems, including problems involving multiple events and conditions.","Apply, solve, model",Paper 1 (advanced probability applications),7 / 10,Students should be able to apply advanced probability concepts to solve complex problems.
184,AHL 4.14,AHL 4.14a,Advanced Random Variables,Understanding advanced concepts in random variables and their properties.,"Students learn about advanced random variable concepts, understand their properties and applications, and work with complex probability problems.","Learn, understand, work",Paper 1 (advanced random variables),7 / 10,Students should be able to understand and work with advanced random variable concepts.
185,AHL 4.14,AHL 4.14b,Continuous Probability Distributions,Understanding continuous probability distributions and their applications.,"Students learn about various continuous probability distributions, understand their properties and applications, and work with complex probability problems.","Learn, understand, work",Paper 1 (continuous distributions),7 / 10,Students should be able to understand and work with continuous probability distributions.
186,AHL 4.14,AHL 4.14c,Advanced Probability Applications,Applying advanced probability concepts to solve complex problems.,"Students learn to apply advanced probability concepts to solve complex real-world problems, including problems involving continuous distributions and advanced techniques.","Apply, solve, model",Paper 1 (advanced probability applications),7 / 10,Students should be able to apply advanced probability concepts to solve complex problems.
187,SL 5.1,SL 5.1a,Introduction to Limits,Understanding the concept of limits and their intuitive meaning.,"Students learn about limits, understand the intuitive meaning of limits, and learn to evaluate simple limits using algebraic methods.","Learn, understand, evaluate",Paper 1 (introduction to limits),5 / 10,Students should be able to understand the concept of limits and evaluate simple limits.
188,SL 5.1,SL 5.1b,Limit Laws and Properties,Understanding limit laws and their applications.,"Students learn about limit laws, understand how to apply them to evaluate limits, and work with limits of sums, differences, products, and quotients.","Learn, understand, apply",Paper 1 (limit laws),5 / 10,Students should be able to understand and apply limit laws to evaluate limits.
189,SL 5.1,SL 5.1c,Introduction to Differentiation,Understanding the concept of differentiation and the derivative.,"Students learn about the derivative as the limit of the difference quotient, understand the geometric meaning of the derivative, and learn basic differentiation concepts.","Learn, understand, apply",Paper 1 (introduction to differentiation),5 / 10,Students should be able to understand the concept of differentiation and the derivative.
