Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome,content_type,title,content
162,SL 2.11,SL 2.11c,Transformation Applications,Applying transformations to solve problems and model situations.,"Students learn to use transformations to solve problems, model real-world situations, and understand the practical applications of function transformations.","Apply, model, solve",Paper 1 (transformation applications),6 / 10,Students should be able to apply transformations to solve problems and model real-world situations.,concepts,Real-World Transformation Modeling,"Transformations model real changes: time zone shift (horizontal translation), currency conversion (vertical stretch), temperature scale (linear transformation). Understanding transformations lets you adapt standard models to specific situations. Efficient problem-solving: modify known function rather than start from scratch. Thinking in transformations is powerful mathematical tool."
164,AHL 2.12,AHL 2.12a,Polynomial Functions,Understanding polynomial functions and their properties.,"Students explore polynomial functions of degree n, learn about their graphs, end behavior, and fundamental properties of polynomials.","Understand, explore, analyze",Paper 1 (polynomial functions),6 / 10,Students should be able to understand polynomial functions and their fundamental properties.,concepts,Polynomial Characteristics,"Polynomials are 'nice' functions: smooth, continuous, defined everywhere. Degree determines: number of turns (at most $n-1$), number of roots (at most $n$), end behavior. Odd degree: opposite infinities at ends. Even degree: same infinities. No breaks, holes, or asymptotes. Foundation of algebra—all operations stay in polynomial family."
166,AHL 2.12,AHL 2.12b,The Factor Theorem,Understanding the factor theorem and its applications.,"Students learn that if f(a) = 0, then (x-a) is a factor of f(x), and use this to factor polynomials and find roots.","Apply, factor, find",Paper 1 (factor theorem),7 / 10,Students should be able to apply the factor theorem to factor polynomials and find roots.,concepts,Using Factor Theorem Strategically,"Factor theorem connects roots and factors. Find one root → get one factor → polynomial division → lower degree. Try simple values: $\pm 1, \pm 2, \pm 3$. Rational root theorem gives candidates. Each factor found reduces problem difficulty. Essential for solving higher-degree polynomials. Systematic approach: test, factor, reduce, repeat."
168,AHL 2.12,AHL 2.12c,The Remainder Theorem,Understanding the remainder theorem and polynomial division.,"Students learn that when f(x) is divided by (x-a), the remainder is f(a), and apply this to polynomial division problems.","Apply, divide, find",Paper 1 (remainder theorem),7 / 10,Students should be able to apply the remainder theorem to polynomial division problems.,concepts,Remainder Theorem Applications,"Remainder theorem avoids long division! Just evaluate function. Find remainder quickly without dividing. Useful for checking divisibility: if $f(a) = 0$, divides exactly. Combine with factor theorem for complete factoring strategy. Real application: error-checking codes, polynomial interpolation. Simple but powerful shortcut."
170,AHL 2.13,AHL 2.13a,Advanced Rational Functions,Working with more complex rational functions and their properties.,"Students explore rational functions with higher degree polynomials, learn about multiple asymptotes, and analyze their behavior.","Explore, analyze, understand",Paper 1 (advanced rational functions),7 / 10,Students should be able to work with complex rational functions and analyze their properties.,concepts,Complex Rational Function Behavior,Higher degree rational functions: more complex behavior. Multiple vertical asymptotes possible (each root of denominator). Degree comparison determines horizontal asymptote existence. Can have holes (common factors in numerator/denominator). Behavior between asymptotes varies. Understanding polynomial degrees essential for analysis. More realistic for modeling complex phenomena.
172,AHL 2.13,AHL 2.13b,Oblique Asymptotes,Understanding oblique asymptotes in rational functions.,"Students learn to find oblique asymptotes using polynomial long division, understand when they occur, and analyze their significance.","Find, understand, analyze",Paper 1 (oblique asymptotes),7 / 10,Students should be able to find and analyze oblique asymptotes in rational functions.,concepts,Oblique Asymptotes Explained,"Oblique (slant) asymptotes are diagonal lines. Occur when numerator degree exceeds denominator by exactly 1. Graph approaches this line as $x \to \pm\infty$. Polynomial division reveals quotient (asymptote) and remainder (deviation). Unlike horizontal asymptotes, these are tilted. Shows more sophisticated end behavior. Real applications: optimization with constraints."
174,AHL 2.13,AHL 2.13c,Advanced Rational Function Applications,Applying advanced rational function concepts to solve complex problems.,"Students learn to solve complex problems involving rational functions, including optimization and modeling applications.","Solve, apply, model",Paper 1 (rational applications),7 / 10,Students should be able to apply advanced rational function concepts to solve complex problems.,concepts,Rational Functions in Real Problems,"Rational functions model rates, averages, concentrations. Average cost approaches marginal cost (horizontal asymptote). Dilution problems: concentration = amount/volume. Optimization: minimize average cost, maximize efficiency. Understanding asymptotes gives long-term behavior. These functions everywhere in economics, chemistry, engineering. Connect algebra to real applications."
176,AHL 2.14,AHL 2.14a,Advanced Composite Functions,Working with complex composite functions and their properties.,"Students learn to work with composite functions involving multiple operations, understand domain restrictions, and analyze their behavior.","Compose, analyze, understand",Paper 1 (advanced composition),7 / 10,Students should be able to work with complex composite functions and understand their properties.,concepts,Composite Domain Restrictions,"Composite function domains trickier than simple functions. Must satisfy BOTH: inner function defined AND outer function accepts result. Chain of constraints. Example: $\sqrt{\ln(x)}$ requires $x > 0$ (for ln) AND $\ln(x) \geq 0$ (for sqrt), so $x \geq 1$. Careful analysis prevents domain errors. Essential for complex function work."
178,AHL 2.14,AHL 2.14b,Advanced Inverse Functions,Understanding inverse functions for complex functions and their properties.,"Students learn to find inverses of complex functions, understand domain and range restrictions, and work with inverse function properties.","Find, understand, apply",Paper 1 (advanced inverses),7 / 10,Students should be able to find and work with inverse functions of complex functions.,concepts,Finding Complex Inverses,"For complex functions, method: replace $y$, swap, solve—but watch domain! Composite inverses: reverse order of operations. Like putting on socks then shoes: to undo, remove shoes first! Restrict domain if needed for one-to-one. Understanding composition helps deconstruct complex functions. Essential for advanced function analysis."
180,AHL 2.14,AHL 2.14c,Function Composition and Inversion Applications,Applying advanced function composition and inversion to solve problems.,Students learn to apply advanced concepts of function composition and inversion to solve complex mathematical problems.,"Apply, solve, model",Paper 1 (composition applications),7 / 10,Students should be able to apply advanced function composition and inversion concepts to solve problems.,concepts,Advanced Function Applications,"Composition and inversion solve complex problems. Cryptography: encrypt (compose), decrypt (inverse). Iterative processes: repeatedly apply function. Fixed points: equilibrium values. Understanding these concepts enables modeling multi-step processes, analyzing stability, solving nested equations. Abstract but powerful—foundation for dynamics, chaos theory."
182,AHL 2.15,AHL 2.15a,Advanced Rational Function Inequalities,Understanding and solving complex rational function inequalities.,"Students learn to solve rational function inequalities, understand the relationship to rational equations, and represent solutions graphically.","Solve, represent, interpret",Paper 1 (rational inequalities),7 / 10,Students should be able to solve complex rational function inequalities and represent their solutions appropriately.,concepts,Sign Analysis Method,Rational inequalities need careful sign analysis. Critical points divide number line into intervals. Function can only change sign at zeros or asymptotes. Test one value per interval. Be careful: can't multiply by denominator (might be negative!). Graphical view confirms: where is graph above/below axis? Number line method systematic and reliable.
184,AHL 2.15,AHL 2.15b,Rational Function Domain and Range,Understanding domain and range restrictions in rational functions.,"Students learn to find domain and range of rational functions, understand restrictions, and analyze the effects of asymptotes.","Find, analyze, understand",Paper 1 (domain range analysis),7 / 10,Students should be able to find and analyze domain and range of rational functions.,concepts,Understanding Range Restrictions,"Range harder than domain to find. Horizontal asymptotes often indicate excluded values. Algebraic method: swap $x$ and $y$, solve for $y$—valid $x$ values give range. Graphical: look at all $y$ values covered. Some rational functions have complete range; others have gaps. Understanding range essential for inverse function existence."
186,AHL 2.15,AHL 2.15c,Rational Function Optimization,Applying rational functions to optimization problems.,"Students learn to use rational functions in optimization problems, understand constraints, and find maximum/minimum values.","Apply, optimize, solve",Paper 1 (rational optimization),7 / 10,Students should be able to apply rational functions to optimization problems.,concepts,Real Optimization with Rationals,"Rational functions model many optimization scenarios: minimize average cost, maximize efficiency, optimal box dimensions. Calculus finds exact optima. Understanding asymptotes: often limiting cases aren't optimal. Real constraints: domain restrictions matter. Common pattern: cost has fixed and variable parts. Applications: economics, engineering design, resource allocation."
188,AHL 2.16,AHL 2.16a,Advanced Function Transformations,Understanding complex transformations of functions and their effects.,"Students learn about advanced transformations including dilations, rotations, and combinations of multiple transformations.","Understand, apply, transform",Paper 1 (advanced transformations),7 / 10,Students should be able to understand and apply advanced transformations to function graphs.,concepts,Complex Transformation Effects,"Advanced transformations create sophisticated graphs. Absolute value creates V-shapes or removes negative parts. Dilations from non-origin points. Multiple compositions build complexity. Understanding these extends basic transformation toolkit. Real applications: signal processing (absolute value), computer graphics. Master basic transformations first, then build complexity."
190,AHL 2.16,AHL 2.16b,Transformation Matrices,Understanding matrix representations of transformations.,"Students learn to represent transformations using matrices, understand matrix operations, and apply them to function transformations.","Represent, understand, apply",Paper 1 (transformation matrices),7 / 10,Students should be able to represent and apply transformations using matrices.,concepts,Matrices Encode Transformations,"Matrices provide algebraic representation of geometric transformations. Each transformation = specific matrix. Composition = matrix multiplication. Inverse transformation = matrix inverse. This linear algebra connection powerful: systematic, computable, generalizable to higher dimensions. Foundation for computer graphics, robotics, data science. Elegant unification of geometry and algebra."
192,AHL 2.16,AHL 2.16c,Advanced Transformation Applications,Applying advanced transformations to solve complex problems.,Students learn to use advanced transformations to solve complex mathematical problems and model real-world situations.,"Apply, solve, model",Paper 1 (advanced transformation applications),7 / 10,Students should be able to apply advanced transformations to solve complex problems.,concepts,Applied Transformation Analysis,"Advanced transformations model sophisticated phenomena: signal processing (frequency/amplitude shifts), image transformations (computer graphics), economic models (scaling/shifting data). Understanding transformation decomposition: identify each component's effect. Build complex from simple. Real skill: recognize transformation pattern in context, build appropriate model. Bridges pure and applied mathematics."
194,SL 3.1,SL 3.1a,Three-Dimensional Coordinate Systems,Understanding three-dimensional coordinate systems and spatial geometry.,"Students learn about 3D coordinate systems, distance formula in 3D, and basic spatial relationships between points.","Understand, calculate, analyze",Paper 1 (3D coordinates),5 / 10,Students should be able to work with three-dimensional coordinate systems and calculate distances.,concepts,Visualizing 3D Space,"3D extends 2D by adding height/depth. Three mutually perpendicular axes. Points need three coordinates. Distance formula extends Pythagoras to three dimensions. Harder to visualize but same principles. Applications: architecture, physics, computer graphics, navigation. Practice: sketch simple 3D diagrams. Understanding spatial relationships crucial for geometry and vectors."
196,SL 3.1,SL 3.1b,Equations of Planes,Understanding equations of planes in three-dimensional space.,"Students learn to find equations of planes using points and normal vectors, understand different forms of plane equations.","Find, understand, apply",Paper 1 (plane equations),6 / 10,Students should be able to find equations of planes in three-dimensional space.,concepts,Understanding Planes in 3D,"Plane is flat 2D surface in 3D space. Infinite extent. Defined by: (1) three non-collinear points, or (2) point and normal vector. Normal vector perpendicular to plane—crucial concept. Equation $ax + by + cz = d$ describes all points satisfying relationship. Applications: structural design, geology (rock layers), computer graphics. Fundamental 3D geometry object."
198,SL 3.1,SL 3.1c,Intersection of Planes and Lines,Understanding intersections between planes and lines in 3D space.,"Students learn to find intersections between planes and lines, understand different cases of intersection, and solve related problems.","Find, understand, solve",Paper 1 (plane line intersections),6 / 10,Students should be able to find intersections between planes and lines in three-dimensional space.,concepts,3D Intersection Analysis,"Line-plane intersection: usually one point. Special cases: parallel (no intersection) or line lies in plane (infinite). Two planes: usually intersect in a line. Three planes: can meet at point, line, or nowhere. System of equations approach. Understanding these cases essential for 3D problem-solving. Applications: flight paths, structural engineering."
200,SL 3.2,SL 3.2a,Trigonometric Ratios,Understanding basic trigonometric ratios and their properties.,"Students learn about sine, cosine, and tangent ratios, understand their definitions in right triangles, and apply them to solve problems.","Understand, apply, solve",Paper 1 (trigonometric ratios),4 / 10,Students should be able to understand and apply basic trigonometric ratios to solve problems.,concepts,Right Triangle Trigonometry,"Trig ratios connect angles to side ratios in right triangles. SOHCAHTOA mnemonic helps remember. Each ratio is dimensionless (length/length). Inverse process: given ratio, find angle using $\sin^{-1}$, $\cos^{-1}$, $\tan^{-1}$. Foundation for all trigonometry. Applications: navigation, surveying, engineering. Understanding these ratios opens world of angle-based problems."
202,SL 3.2,SL 3.2b,Special Angles and Exact Values,Understanding special angles and their exact trigonometric values.,"Students learn the exact values of trigonometric ratios for 30°, 45°, 60°, and 90°, and apply them in calculations.","Learn, apply, calculate",Paper 1 (special angles),5 / 10,Students should be able to recall and apply exact values of trigonometric ratios for special angles.,concepts,Memorizing Special Angles,"30-60-90 triangle (sides 1, √3, 2) gives 30° and 60° values. 45-45-90 triangle (sides 1, 1, √2) gives 45° values. These exact values essential for non-calculator work. Pattern: $\sin$ increases, $\cos$ decreases from 0° to 90°. Understanding triangle derivation helps recall. Used throughout trigonometry—worth memorizing!"
204,SL 3.2,SL 3.2c,Applications of Trigonometric Ratios,Applying trigonometric ratios to solve real-world problems.,"Students learn to apply trigonometric ratios to solve problems involving angles of elevation, depression, and other real-world situations.","Apply, solve, model",Paper 1 (trigonometric applications),5 / 10,Students should be able to apply trigonometric ratios to solve real-world problems.,concepts,Real-World Trig Applications,"Trigonometry solves indirect measurement problems. Can't measure building height directly? Use angle and distance. Navigation: bearings use trig. Engineering: slopes, forces, structural analysis. Drawing clear diagram crucial—label known/unknown, identify right triangle. Choose ratio containing both given and unknown. Real skill: translating words to mathematical model."
206,SL 3.3,SL 3.3a,The Unit Circle,Understanding the unit circle and its relationship to trigonometric functions.,"Students learn about the unit circle, understand how it relates to trigonometric ratios, and work with angles in radians and degrees.","Understand, relate, convert",Paper 1 (unit circle),5 / 10,Students should be able to understand the unit circle and its relationship to trigonometric functions.,concepts,Unit Circle Power,"Unit circle revolutionizes trigonometry: extends from 0-90° to all angles. Coordinates ARE the trig ratios! $x = \cos\theta$, $y = \sin\theta$. Quadrant determines sign. Angles > 90° now meaningful. Reference angles connect all quadrants. Foundation for periodic functions, waves, circular motion. Visualizing trig on unit circle builds deep understanding."
208,SL 3.3,SL 3.3b,Radians and Degrees,Understanding the relationship between radians and degrees.,"Students learn to convert between radians and degrees, understand the relationship π radians = 180°, and apply this in calculations.","Convert, understand, apply",Paper 1 (radian degree conversion),5 / 10,Students should be able to convert between radians and degrees and apply this in calculations.,concepts,Why Radians?,"Radians are 'natural' angle measure. 1 radian = angle subtending arc length equal to radius. Full circle: circumference $2\pi r$ at radius $r$ → $2\pi$ radians. In calculus, radians essential: $\frac{d}{dx}\sin x = \cos x$ ONLY in radians. Cleaner formulas. Most advanced math uses radians. Degrees historical; radians mathematical."
210,SL 3.3,SL 3.3c,Arc Length and Sector Area,Understanding arc length and sector area calculations.,"Students learn to calculate arc length s = rθ and sector area A = ½r²θ, and apply these formulas to solve problems.","Calculate, apply, solve",Paper 1 (arc length sector area),5 / 10,Students should be able to calculate arc length and sector area using appropriate formulas.,concepts,Circle Sector Geometry,"Arc length proportional to angle: fraction of circumference. Sector area proportional to angle: fraction of circle area. MUST use radians for these formulas! Degree formulas messier. Applications: pendulums, circular motion, gear design. Understanding these connects angle measure to physical distance and area. Essential for circular geometry."
212,SL 3.4,SL 3.4a,Trigonometric Identities,Understanding fundamental trigonometric identities.,"Students learn about sin²θ + cos²θ = 1, tanθ = sinθ/cosθ, and other fundamental identities, and apply them to simplify expressions.","Learn, apply, simplify",Paper 1 (trigonometric identities),6 / 10,Students should be able to understand and apply fundamental trigonometric identities.,concepts,Understanding Trig Identities,"Identities are equations true for ALL angle values. Pythagorean identity comes from unit circle: $x^2 + y^2 = 1$. These are tools—not just facts to memorize. Use to: simplify expressions, solve equations, prove other identities. Fundamental identities generate many others. Recognition key skill: see when to apply which identity."
214,SL 3.4,SL 3.4b,Simplifying Trigonometric Expressions,Simplifying complex trigonometric expressions using identities.,"Students learn to use trigonometric identities to simplify expressions, factor trigonometric expressions, and solve related problems.","Simplify, factor, solve",Paper 1 (trigonometric simplification),6 / 10,Students should be able to simplify trigonometric expressions using identities.,concepts,Simplification Techniques,Goal: simpler form using identities. Strategy: convert everything to sin/cos often helps. Look for Pythagorean patterns ($\sin^2 + \cos^2$). Factoring reveals hidden structure. Like algebraic simplification but with trig functions. Practice recognizes patterns quickly. Essential skill for solving trig equations and proving identities. Multiple paths possible—choose clearest.
216,SL 3.4,SL 3.4c,Proving Trigonometric Identities,Understanding how to prove trigonometric identities.,"Students learn techniques for proving trigonometric identities, understand logical reasoning, and develop proof-writing skills.","Prove, reason, develop",Paper 1 (trigonometric proofs),6 / 10,Students should be able to prove trigonometric identities using appropriate techniques.,concepts,Proof Techniques and Logic,"Proving identities develops rigorous thinking. Each step must be justified. Common approach: convert to sin/cos. Sometimes: multiply by conjugate, factor creatively. Don't assume what proving—circular logic! Show one side transforms to other. Multiple valid proofs possible. Skills transfer: logical reasoning, seeing structure, strategic manipulation. Essential practice for mathematical maturity."
218,SL 3.5,SL 3.5a,Graphs of Sine and Cosine,Understanding the graphs of sine and cosine functions.,"Students learn to graph y = sin(x) and y = cos(x), understand their periodic nature, amplitude, and period, and analyze their key features.","Graph, understand, analyze",Paper 1 (sine cosine graphs),5 / 10,Students should be able to graph sine and cosine functions and understand their properties.,concepts,Periodic Wave Behavior,"Sine and cosine are wave functions. Repeat every $2\pi$ (period). Oscillate between -1 and 1 (amplitude). Model periodic phenomena: seasons, tides, sound waves, AC current. Smooth, continuous oscillations. Cosine = sine shifted left $\frac{\pi}{2}$. Understanding these graphs essential for physics, engineering, signal processing."
220,SL 3.5,SL 3.5b,Amplitude and Period,Understanding amplitude and period in trigonometric functions.,"Students learn about amplitude |a| and period 2π/b in y = a sin(bx) and y = a cos(bx), and how these parameters affect the graphs.","Understand, analyze, apply",Paper 1 (amplitude period),5 / 10,Students should be able to understand and analyze amplitude and period in trigonometric functions.,concepts,Understanding Wave Parameters,"Amplitude controls height (loudness of sound, voltage of AC). Period controls cycle length (pitch of sound, seasons). Larger $b$ → more cycles in same space → shorter period. These parameters describe any wave phenomenon. Real modeling: match amplitude to physical range, period to time scale. Adjusting $a$ and $b$ adapts basic wave to specific context."
222,SL 3.5,SL 3.5c,Phase Shift and Vertical Shift,Understanding phase shift and vertical shift in trigonometric functions.,"Students learn about phase shift c and vertical shift d in y = a sin(b(x-c)) + d, and how these transformations affect the graphs.","Understand, analyze, apply",Paper 1 (phase vertical shift),5 / 10,Students should be able to understand and analyze phase shift and vertical shift in trigonometric functions.,concepts,Complete Wave Transformation,"All four parameters describe any sinusoidal wave: $a$ (amplitude), $b$ (frequency), $c$ (phase), $d$ (midline). Phase shift slides wave horizontally. Vertical shift moves midline from $y=0$ to $y=d$. Real modeling: tides oscillate around mean sea level (vertical shift), high tide timing varies (phase shift). Master all four to model any periodic phenomenon."
224,SL 3.6,SL 3.6a,Graphs of Tangent and Cotangent,Understanding the graphs of tangent and cotangent functions.,"Students learn to graph y = tan(x) and y = cot(x), understand their periodic nature, asymptotes, and analyze their key features.","Graph, understand, analyze",Paper 1 (tangent cotangent graphs),5 / 10,Students should be able to graph tangent and cotangent functions and understand their properties.,concepts,Tangent Function Behavior,"Tangent different from sin/cos: unbounded (no max/min), has asymptotes, shorter period ($\pi$ not $2\pi$). Increases through each period. Asymptotes where $\cos x = 0$ (division by zero). S-shaped curves between asymptotes. Applications: slopes, angles of inclination. Understanding tangent completes trig function family."
226,SL 3.6,SL 3.6b,Asymptotes in Trigonometric Functions,Understanding asymptotes in trigonometric functions.,"Students learn to identify vertical asymptotes in tangent and cotangent functions, understand their significance, and analyze function behavior.","Identify, understand, analyze",Paper 1 (trigonometric asymptotes),5 / 10,Students should be able to identify and understand asymptotes in trigonometric functions.,concepts,Asymptotes from Ratios,Tangent and cotangent have asymptotes because they're ratios. Asymptote occurs where denominator equals zero. $\tan x = \frac{\sin x}{\cos x}$: undefined when $\cos x = 0$. Between asymptotes: continuous curve. Understanding why asymptotes occur (not just memorizing) builds deeper comprehension. Asymptotes mark boundaries of each period.
228,SL 3.6,SL 3.6c,Period and Transformations,Understanding period and transformations in tangent and cotangent functions.,"Students learn about period π/b in y = a tan(bx) and y = a cot(bx), and how transformations affect these functions.","Understand, analyze, apply",Paper 1 (tangent transformations),5 / 10,Students should be able to understand and analyze period and transformations in tangent and cotangent functions.,concepts,Tangent Transformation Effects,"Tangent period is $\pi$ (half of sin/cos). Coefficient $b$ changes frequency. $a$ stretches vertically but no bounded amplitude. Asymptote spacing determined by period. Phase shifts move entire pattern. Understanding these transformations lets you model periodic unbounded phenomena (rare but important in optics, engineering)."
230,SL 3.7,SL 3.7a,Circular Functions,Understanding circular functions and their relationship to trigonometric functions.,"Students learn about circular functions, understand their relationship to trigonometric functions, and work with their properties.","Understand, relate, work",Paper 1 (circular functions),5 / 10,Students should be able to understand circular functions and their relationship to trigonometric functions.,concepts,From Angles to Arc Length,"Circular functions broaden trig from angles to any real number. Input = distance traveled around unit circle (arc length). Output = coordinates. Periodic because circle repeats. This view essential for calculus: functions of real variables. No longer limited to geometric angles. Applications: circular motion, waves, oscillations. Modern view of trigonometry."
232,SL 3.7,SL 3.7b,Graphs of Circular Functions,Understanding the graphs of circular functions.,"Students learn to graph circular functions, understand their periodic nature, and analyze their key features and behavior.","Graph, understand, analyze",Paper 1 (circular function graphs),5 / 10,Students should be able to graph circular functions and understand their properties.,concepts,Graphical Properties,"Circular function graphs identical to trig function graphs—just different interpretation. Input is real number (not necessarily angle). Periodic behavior from circular nature. Use these graphs to analyze oscillations, waves, repeating patterns. Visual understanding crucial: see periodicity, amplitude, phase. Foundation for Fourier analysis and signal processing."
234,SL 3.7,SL 3.7c,Applications of Circular Functions,Applying circular functions to solve problems and model situations.,"Students learn to apply circular functions to solve problems, model periodic phenomena, and understand their real-world applications.","Apply, model, understand",Paper 1 (circular function applications),5 / 10,Students should be able to apply circular functions to solve problems and model real-world situations.,concepts,Modeling Periodic Phenomena,"Circular functions model anything repeating: tides, day length, business cycles, heartbeats, planetary motion. Extract parameters from context: measure maximum, minimum (find $a$, $d$), identify cycle length (find $b$), note when maximum occurs (find $c$). Skill: translate physical pattern to mathematical model. This is mathematical modeling in action!"
236,SL 3.8,SL 3.8a,Inverse Trigonometric Functions,Understanding inverse trigonometric functions and their properties.,"Students learn about arcsin, arccos, and arctan functions, understand their domains and ranges, and work with their properties.","Understand, work, apply",Paper 1 (inverse trigonometric functions),6 / 10,Students should be able to understand and work with inverse trigonometric functions.,concepts,Understanding Inverse Trig,"Inverse trig answers: 'what angle gives this ratio?' Restricted ranges needed (trig not one-to-one without restriction). Principal values: $\sin^{-1}$ gives $[-\frac{\pi}{2}, \frac{\pi}{2}]$, $\cos^{-1}$ gives $[0, \pi]$. Calculator gives principal value only. Understanding domain/range restrictions crucial. Essential for solving trig equations."
238,SL 3.8,SL 3.8b,Graphs of Inverse Trigonometric Functions,Understanding the graphs of inverse trigonometric functions.,"Students learn to graph inverse trigonometric functions, understand their restricted domains, and analyze their key features.","Graph, understand, analyze",Paper 1 (inverse trig graphs),6 / 10,Students should be able to graph inverse trigonometric functions and understand their properties.,concepts,Inverse Trig Graph Features,"Inverse trig graphs are reflections of restricted trig graphs across $y = x$. $\sin^{-1}$ and $\tan^{-1}$ increasing, $\cos^{-1}$ decreasing. Bounded outputs (angles). $\tan^{-1}$ has horizontal asymptotes (approaches but never reaches $\pm\frac{\pi}{2}$). Understanding these graphs helps solve trig equations graphically and interpret inverse trig values."
240,SL 3.8,SL 3.8c,Applications of Inverse Trigonometric Functions,Applying inverse trigonometric functions to solve problems.,"Students learn to apply inverse trigonometric functions to solve problems, understand their practical applications, and work with related calculations.","Apply, solve, understand",Paper 1 (inverse trig applications),6 / 10,Students should be able to apply inverse trigonometric functions to solve problems.,concepts,Finding Angles from Ratios,"Inverse trig essential for 'find the angle' problems. Given side ratio, need angle. Real applications: finding bearing from coordinates, elevation angle from height/distance, slope angle from gradient. Remember: calculator gives principal value—may need other solutions. Understanding periodicity helps find all solutions. Bridge from ratio back to angle."
242,AHL 3.9,AHL 3.9a,Reciprocal Trigonometric Functions,Understanding reciprocal trigonometric functions and their properties.,"Students learn about cosecant, secant, and cotangent functions, understand their relationships to sine, cosine, and tangent, and work with their properties.","Understand, relate, work",Paper 1 (reciprocal trig functions),6 / 10,Students should be able to understand and work with reciprocal trigonometric functions.,concepts,Completing the Trig Family,"Six trig functions total: three basic (sin, cos, tan) and three reciprocal (csc, sec, cot). Reciprocals flip ratios: where sin is small, csc is large. Undefined where denominator is zero. Less common but useful in certain identities and integrals. Understanding all six provides complete trig toolkit. Pythagorean identities extend to reciprocals."
244,AHL 3.9,AHL 3.9b,Graphs of Reciprocal Trigonometric Functions,Understanding the graphs of reciprocal trigonometric functions.,"Students learn to graph reciprocal trigonometric functions, understand their asymptotes and behavior, and analyze their key features.","Graph, understand, analyze",Paper 1 (reciprocal trig graphs),6 / 10,Students should be able to graph reciprocal trigonometric functions and understand their properties.,concepts,Reciprocal Graph Behavior,"Reciprocal graphs mirror behavior: where sin/cos = 0, reciprocal has asymptote. Where sin/cos = ±1, reciprocal also ±1. Between: reciprocal curves away from zero. U-shaped or inverted-U curves between asymptotes. Understanding reciprocal relationship: small → large, large → small. Less commonly graphed but conceptually important."
246,AHL 3.9,AHL 3.9c,Advanced Inverse Trigonometric Functions,Understanding advanced properties of inverse trigonometric functions.,"Students learn about advanced properties of inverse trigonometric functions, understand their relationships, and work with complex problems.","Understand, relate, work",Paper 1 (advanced inverse trig),7 / 10,Students should be able to understand advanced properties of inverse trigonometric functions.,concepts,Inverse Trig Relationships,"Inverse trig functions related by complementary angle relationships. $\sin^{-1}$ and $\cos^{-1}$ sum to $\frac{\pi}{2}$ (complementary). Symmetry properties (odd/even) extend to inverses. These identities simplify complex expressions, solve equations. Understanding relationships reveals deeper structure. Advanced applications in calculus, complex analysis."
248,AHL 3.10,AHL 3.10a,Compound Angle Formulae,Understanding compound angle formulae in trigonometry.,"Students learn about sin(A±B), cos(A±B), and tan(A±B) formulae, understand their derivations, and apply them to solve problems.","Learn, understand, apply",Paper 1 (compound angle formulae),7 / 10,Students should be able to understand and apply compound angle formulae.,concepts,Understanding Compound Angles,"Compound formulas let you find trig of sums/differences. $\sin(A + B) \neq \sin A + \sin B$! These formulas non-intuitive but essential. Derivable from geometry or complex numbers. Applications: wave interference, phase shifts, angle addition in navigation. Memorize these—used constantly in advanced trig. Sign patterns matter: practice to internalize."
250,AHL 3.10,AHL 3.10b,Double Angle Formulae,Understanding double angle formulae in trigonometry.,"Students learn about sin(2A), cos(2A), and tan(2A) formulae, understand their derivations, and apply them to solve problems.","Learn, understand, apply",Paper 1 (double angle formulae),7 / 10,Students should be able to understand and apply double angle formulae.,concepts,Double Angle Applications,"Double angle formulas are compound angle special cases (set $B = A$). Multiple forms for $\cos(2A)$—choose based on context. Power reduction formulas reverse process. Applications: integration (reducing powers), solving trig equations, simplifying expressions. Essential in physics (wave doubling, frequency). Derive from compound angles but memorize for efficiency."
252,AHL 3.10,AHL 3.10c,Applications of Compound and Double Angle Formulae,Applying compound and double angle formulae to solve problems.,Students learn to apply compound and double angle formulae to solve complex trigonometric problems and prove identities.,"Apply, solve, prove",Paper 1 (angle formula applications),7 / 10,Students should be able to apply compound and double angle formulae to solve problems and prove identities.,concepts,Strategic Use of Angle Formulas,"Angle formulas expand trig toolkit dramatically. Find exact values for non-standard angles. Simplify products to sums (reverse process also useful). Solve equations involving multiple angles. Prove complex identities. Key skill: recognize when to apply which formula. Real applications: wave interference, Fourier analysis. These formulas unlock advanced trigonometry."
254,AHL 3.11,AHL 3.11a,Trigonometric Symmetry,Understanding symmetry properties in trigonometric functions.,"Students learn about even and odd functions, understand symmetry properties of trigonometric functions, and apply these concepts to solve problems.","Understand, apply, solve",Paper 1 (trigonometric symmetry),7 / 10,Students should be able to understand and apply symmetry properties in trigonometric functions.,concepts,Even and Odd Symmetry,"Even functions symmetric about y-axis (cos, sec). Odd functions symmetric about origin (sin, tan, csc, cot). This affects: simplification, integration (odd over symmetric interval = 0), solving equations. Understanding symmetry reduces calculation—exploit patterns. Graph symmetry immediately visible. Essential property for function analysis."
